SCIENTIFIC NAME	OBSERVATION COUNT	LATITUDE	LONGITUDE	OBSERVATION DATE
Turdus flavipes	4	-15.391956299999999	-39.5644283	2016-09-20
Turdus flavipes	1	-14.553292	-40.267813000000004	2016-09-15
Turdus flavipes	1	-15.391956299999999	-39.5644283	2016-09-20
Turdus flavipes	6	-15.391956299999999	-39.5644283	2016-09-07
Turdus flavipes	2	-14.556292000000001	-40.265245	2016-09-05
Turdus flavipes	2	-15.391956299999999	-39.5644283	2016-09-26
Turdus flavipes	4	-15.391956299999999	-39.5644283	2016-11-18
Turdus flavipes	2	-14.412517900000001	-40.12915770000001	2016-11-11
Turdus flavipes	2	-14.412517900000001	-40.12915770000001	2016-11-11
Turdus flavipes	1	-14.553292	-40.267813000000004	2016-12-26
Turdus flavipes	4	-15.391956299999999	-39.5644283	2017-02-14
Turdus flavipes	4	-15.391956299999999	-39.5644283	2017-03-24
Turdus flavipes	4	-15.391956299999999	-39.5644283	2017-03-24
Turdus flavipes	2	-15.391956299999999	-39.5644283	2017-04-18
Turdus flavipes	2	-15.391956299999999	-39.5644283	2017-04-26
Turdus flavipes	1	-15.391956299999999	-39.5644283	2017-04-17
Turdus flavipes	2	-15.391956299999999	-39.5644283	2017-04-19
Turdus flavipes	2	-15.391956299999999	-39.5644283	2017-04-27
Turdus flavipes	2	-15.391956299999999	-39.5644283	2017-05-13
Turdus flavipes	2	-15.391956299999999	-39.5644283	2017-05-13
Turdus flavipes	1	-14.737615599999998	-40.2122355	2017-05-07
Turdus flavipes	1	-14.737615599999998	-40.2122355	2017-05-07
Turdus flavipes	1	-14.737615599999998	-40.2122355	2017-05-07
Turdus flavipes	1	-14.553292	-40.267813000000004	2017-05-30
Turdus flavipes	1	-14.553292	-40.267813000000004	2017-05-13
Turdus flavipes	2	-15.391956299999999	-39.5644283	2017-05-15
Turdus flavipes	2	-15.391956299999999	-39.5644283	2017-05-13
Turdus flavipes	2	-14.617842999999999	-40.3354055	2017-05-27
Turdus flavipes	2	-15.391956299999999	-39.5644283	2017-05-15
Turdus flavipes	4	-14.553292	-40.267813000000004	2017-06-02
Turdus flavipes	1	-15.391956299999999	-39.5644283	2017-06-24
Turdus flavipes	2	-15.391956299999999	-39.5644283	2017-06-09
Turdus flavipes	1	-15.391956299999999	-39.5644283	2017-06-25
Turdus flavipes	1	-15.391956299999999	-39.5644283	2017-06-13
Turdus flavipes	1	-15.391956299999999	-39.5644283	2017-06-25
Turdus flavipes	1	-15.391956299999999	-39.5644283	2017-06-24
Turdus flavipes	1	-15.391956299999999	-39.5644283	2017-06-25
Turdus flavipes	1	-15.391956299999999	-39.5644283	2017-06-25
Turdus flavipes	1	-14.553292	-40.267813000000004	2017-09-29
Turdus flavipes	1	-15.400751699999999	-39.5665555	2017-09-06
Turdus flavipes	1	-14.436754999999998	-40.079577	2017-09-30
Turdus flavipes	1	-14.553292	-40.267813000000004	2017-09-29
Turdus flavipes	1	-15.400751699999999	-39.5665555	2017-09-06
Turdus flavipes	1	-14.553292	-40.267813000000004	2017-09-26
Turdus flavipes	2	-15.391956299999999	-39.5644283	2017-09-06
Turdus flavipes	2	-14.737283600000001	-40.2123213	2017-09-29
Turdus flavipes	1	-14.436754999999998	-40.079577	2017-09-30
Turdus flavipes	2	-14.737283600000001	-40.2123213	2017-09-29
Turdus flavipes	2	-14.737283600000001	-40.2123213	2017-10-30
Turdus flavipes	2	-14.553292	-40.267813000000004	2017-10-28
Turdus flavipes	1	-15.4056513	-39.5342803	2017-10-05
